concept_id,concept_name,concept_code,vocabulary_id
44072255,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule,OMOP1066886,RxNorm Extension
44064952,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Adderall-XR] by Shire,OMOP1059583,RxNorm Extension
44061581,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr],OMOP1056212,RxNorm Extension
44061580,Amphetamine 6.25 MG / Dextroamphetamine 6.25 MG Extended Release Oral Capsule [Act Amphetamine Xr],OMOP1056211,RxNorm Extension
44061579,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule [Act Amphetamine Xr],OMOP1056210,RxNorm Extension
44061578,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule [Pms-Amphetamines Xr],OMOP1056209,RxNorm Extension
44061577,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule [Sandoz Amphetamine Xr],OMOP1056208,RxNorm Extension
44051972,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Pms-Amphetamines Xr] by Pharmascience,OMOP1046603,RxNorm Extension
44051971,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule [Act Amphetamine Xr] by Actavis,OMOP1046602,RxNorm Extension
44051970,Amphetamine 6.25 MG / Dextroamphetamine 6.25 MG Extended Release Oral Capsule [Adderall-XR] by Shire,OMOP1046601,RxNorm Extension
44048585,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Adderall-XR],OMOP1043216,RxNorm Extension
44048584,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Act Amphetamine Xr],OMOP1043215,RxNorm Extension
44048583,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Act Amphetamine Xr],OMOP1043214,RxNorm Extension
44044893,Amphetamine / Dextroamphetamine Extended Release Oral Capsule [Adderall-XR],OMOP1039524,RxNorm Extension
44038862,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Act Amphetamine Xr] by Actavis,OMOP1033493,RxNorm Extension
44038861,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Adderall-XR] by Shire,OMOP1033492,RxNorm Extension
44038860,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Adderall-XR] by Shire,OMOP1033491,RxNorm Extension
44038859,Amphetamine 6.25 MG / Dextroamphetamine 6.25 MG Extended Release Oral Capsule [Pms-Amphetamines Xr] by Pharmascience,OMOP1033490,RxNorm Extension
44038858,Amphetamine 1.25 MG / Dextroamphetamine 1.25 MG Extended Release Oral Capsule [Act Amphetamine Xr] by Actavis,OMOP1033489,RxNorm Extension
44035469,Amphetamine 2.5 MG / Dextroamphetamine 2.5 MG Extended Release Oral Capsule [Pms-Amphetamines Xr],OMOP1030100,RxNorm Extension
44035468,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Adderall-XR],OMOP1030099,RxNorm Extension
44035467,Amphetamine 7.5 MG / Dextroamphetamine 7.5 MG Extended Release Oral Capsule [Pms-Amphetamines Xr],OMOP1030098,RxNorm Extension
44035466,Amphetamine 3.75 MG / Dextroamphetamine 3.75 MG Extended Release Oral Capsule [Adderall-XR],OMOP1030097,RxNorm Extension
44035465,Amphetamine 5 MG / Dextroamphetamine 5 MG Extended Release Oral Capsule [Pms-Amphetamines Xr],OMOP1030096,RxNorm Extension
44031852,Amphetamine / Dextroamphetamine Extended Release Oral Capsule [Pms-Amphetamines Xr],OMOP1026483,RxNorm Extension
44026043,Amphetamine 6.25 MG / Dextroamphetamine 6.25 MG Extended Release Oral Capsule [Adderall-XR],OMOP1020674,RxNorm Extension
40163918,24 HR amphetamine aspartate 7.5 MG / amphetamine sulfate 7.5 MG / dextroamphetamine saccharate 7.5 MG / dextroamphetamine sulfate 7.5 MG Extended Release Oral Capsule [Adderall],861233,RxNorm
40163917,24 HR amphetamine aspartate 7.5 MG / amphetamine sulfate 7.5 MG / dextroamphetamine saccharate 7.5 MG / dextroamphetamine sulfate 7.5 MG Extended Release Oral Capsule,861232,RxNorm
40163916,24 HR amphetamine aspartate 6.25 MG / amphetamine sulfate 6.25 MG / dextroamphetamine saccharate 6.25 MG / dextroamphetamine sulfate 6.25 MG Extended Release Oral Capsule [Adderall],861228,RxNorm
40163915,24 HR amphetamine aspartate 6.25 MG / amphetamine sulfate 6.25 MG / dextroamphetamine saccharate 6.25 MG / dextroamphetamine sulfate 6.25 MG Extended Release Oral Capsule,861227,RxNorm
40163914,24 HR amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule [Adderall],861226,RxNorm
40163913,24 HR amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule,861225,RxNorm
40163912,24 HR amphetamine aspartate 3.75 MG / amphetamine sulfate 3.75 MG / dextroamphetamine saccharate 3.75 MG / dextroamphetamine sulfate 3.75 MG Extended Release Oral Capsule [Adderall],861224,RxNorm
40163911,24 HR amphetamine aspartate 3.75 MG / amphetamine sulfate 3.75 MG / dextroamphetamine saccharate 3.75 MG / dextroamphetamine sulfate 3.75 MG Extended Release Oral Capsule,861223,RxNorm
40163910,24 HR amphetamine aspartate 2.5 MG / amphetamine sulfate 2.5 MG / dextroamphetamine saccharate 2.5 MG / dextroamphetamine sulfate 2.5 MG Extended Release Oral Capsule [Adderall],861222,RxNorm
40163909,24 HR amphetamine aspartate 2.5 MG / amphetamine sulfate 2.5 MG / dextroamphetamine saccharate 2.5 MG / dextroamphetamine sulfate 2.5 MG Extended Release Oral Capsule,861221,RxNorm
40163908,24 HR amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule [Adderall],861238,RxNorm
40224146,amphetamine aspartate 1.875 MG / amphetamine sulfate 1.875 MG / dextroamphetamine saccharate 1.875 MG / dextroamphetamine sulfate 1.875 MG Oral Tablet [Adderall],1009147,RxNorm
40224145,amphetamine aspartate 1.875 MG / amphetamine sulfate 1.875 MG / dextroamphetamine saccharate 1.875 MG / dextroamphetamine sulfate 1.875 MG Oral Tablet,1009145,RxNorm
40124992,amphetamine / dextroamphetamine Oral Tablet [Adderall],577959,RxNorm
40009527,amphetamine / dextroamphetamine Oral Tablet,376410,RxNorm
36119393,amphetamine 5 MG / dextroamphetamine 5 MG Oral Tablet [Adderall] Box of 100,OMOP5048244,RxNorm Extension
36119392,amphetamine 5 MG / dextroamphetamine 5 MG Oral Tablet [Adderall],OMOP5048243,RxNorm Extension
36119391,amphetamine 5 MG / dextroamphetamine 5 MG Oral Tablet Box of 100,OMOP5048242,RxNorm Extension
36119390,amphetamine 5 MG / dextroamphetamine 5 MG Oral Tablet,OMOP5048241,RxNorm Extension
21132574,Amphetamine 5 MG / Dextroamphetamine 5 MG Oral Tablet [Adderall] Box of 100,OMOP393678,RxNorm Extension
21064043,Amphetamine 5 MG / Dextroamphetamine 5 MG Oral Tablet Box of 100,OMOP393676,RxNorm Extension
19125464,amphetamine aspartate 3.125 MG / amphetamine sulfate 3.125 MG / dextroamphetamine saccharate 3.125 MG / dextroamphetamine sulfate 3.125 MG Oral Tablet [Adderall],687045,RxNorm
19125462,amphetamine aspartate 3.125 MG / amphetamine sulfate 3.125 MG / dextroamphetamine saccharate 3.125 MG / dextroamphetamine sulfate 3.125 MG Oral Tablet,687043,RxNorm
19121296,amphetamine aspartate 3.75 MG / amphetamine sulfate 3.75 MG / dextroamphetamine saccharate 3.75 MG / dextroamphetamine sulfate 3.75 MG Oral Tablet [Adderall],577960,RxNorm
19115243,amphetamine 1.87 MG / dextroamphetamine 1.87 MG Oral Tablet,562729,RxNorm
19115242,amphetamine 3.12 MG / dextroamphetamine 3.12 MG Oral Tablet,562728,RxNorm
19113489,amphetamine 15 MG / dextroamphetamine 15 MG Oral Tablet,540813,RxNorm
19103039,amphetamine 1.25 MG / dextroamphetamine 2.5 MG Oral Tablet,405856,RxNorm
719419,amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Oral Tablet [Adderall],577962,RxNorm
719416,amphetamine aspartate 2.5 MG / amphetamine sulfate 2.5 MG / dextroamphetamine saccharate 2.5 MG / dextroamphetamine sulfate 2.5 MG Oral Tablet,541892,RxNorm
719380,amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Oral Tablet,541878,RxNorm
719378,amphetamine aspartate 7.5 MG / amphetamine sulfate 7.5 MG / dextroamphetamine saccharate 7.5 MG / dextroamphetamine sulfate 7.5 MG Oral Tablet [Adderall],541365,RxNorm
714851,amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Oral Tablet,577961,RxNorm
714850,amphetamine aspartate 3.75 MG / amphetamine sulfate 3.75 MG / dextroamphetamine saccharate 3.75 MG / dextroamphetamine sulfate 3.75 MG Oral Tablet,577957,RxNorm
714847,amphetamine aspartate 2.5 MG / amphetamine sulfate 2.5 MG / dextroamphetamine saccharate 2.5 MG / dextroamphetamine sulfate 2.5 MG Oral Tablet [Adderall],541894,RxNorm
714821,amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Oral Tablet [Adderall],541879,RxNorm
714819,amphetamine aspartate 7.5 MG / amphetamine sulfate 7.5 MG / dextroamphetamine saccharate 7.5 MG / dextroamphetamine sulfate 7.5 MG Oral Tablet,541363,RxNorm
1366587,amphetamine sulfate 20 MG Disintegrating Oral Tablet,2118900,RxNorm
1366585,amphetamine sulfate 15 MG Disintegrating Oral Tablet,2118898,RxNorm
1366583,amphetamine sulfate 10 MG Disintegrating Oral Tablet,2118896,RxNorm
1366582,amphetamine sulfate 5 MG Disintegrating Oral Tablet,2118895,RxNorm
1366581,amphetamine Disintegrating Oral Tablet,2118894,RxNorm
1361001,amphetamine sulfate 5 MG Disintegrating Oral Tablet [Evekeo],2175894,RxNorm
1361000,amphetamine sulfate 20 MG Disintegrating Oral Tablet [Evekeo],2175893,RxNorm
1360998,amphetamine sulfate 15 MG Disintegrating Oral Tablet [Evekeo],2175891,RxNorm
1360996,amphetamine sulfate 10 MG Disintegrating Oral Tablet [Evekeo],2175796,RxNorm
1360994,amphetamine Disintegrating Oral Tablet [Evekeo],2175794,RxNorm
35605064,amphetamine 9.4 MG Extended Release Oral Tablet [Adzenys],1739841,RxNorm
35605063,amphetamine 9.4 MG Extended Release Oral Tablet,1739840,RxNorm
35605062,24 HR amphetamine 9.4 MG Extended Release Oral Tablet [Adzenys],1739839,RxNorm
35605060,24 HR amphetamine 9.4 MG Extended Release Oral Tablet,1739837,RxNorm
35605058,amphetamine 6.3 MG Extended Release Oral Tablet [Adzenys],1739835,RxNorm
35605057,amphetamine 6.3 MG Extended Release Oral Tablet,1739834,RxNorm
35605056,24 HR amphetamine 6.3 MG Extended Release Oral Tablet [Adzenys],1739833,RxNorm
35605054,24 HR amphetamine 6.3 MG Extended Release Oral Tablet,1739831,RxNorm
35605052,amphetamine 3.1 MG Extended Release Oral Tablet [Adzenys],1739829,RxNorm
35605051,amphetamine 3.1 MG Extended Release Oral Tablet,1739828,RxNorm
35605050,24 HR amphetamine 3.1 MG Extended Release Oral Tablet [Adzenys],1739827,RxNorm
35605048,24 HR amphetamine 3.1 MG Extended Release Oral Tablet,1739825,RxNorm
35605046,amphetamine 18.8 MG Extended Release Oral Tablet [Adzenys],1739823,RxNorm
35605045,amphetamine 18.8 MG Extended Release Oral Tablet,1739822,RxNorm
35605044,24 HR amphetamine 18.8 MG Extended Release Oral Tablet [Adzenys],1739821,RxNorm
35605042,24 HR amphetamine 18.8 MG Extended Release Oral Tablet,1739819,RxNorm
35605040,amphetamine 15.7 MG Extended Release Oral Tablet [Adzenys],1739817,RxNorm
35605039,amphetamine 15.7 MG Extended Release Oral Tablet,1739816,RxNorm
35605038,24 HR amphetamine 15.7 MG Extended Release Oral Tablet [Adzenys],1739815,RxNorm
35605036,24 HR amphetamine 15.7 MG Extended Release Oral Tablet,1739813,RxNorm
35605034,amphetamine 12.5 MG Extended Release Oral Tablet [Adzenys],1739811,RxNorm
